time(ms),angle_x(deg),angle_y(deg),angle_z(deg),acc_x(g),acc_y(g),acc_z(g),motor_pos
5307,-2,-3.85,-122.86,-0.0362,-0.0669,-0.9963,394836
5371,-2,-3.85,-122.86,-0.0342,-0.0669,-0.9964,420316
5435,-2,-3.85,-122.86,-0.0254,-0.067,-0.9964,445969
5499,-2,-3.84,-122.86,-0.0159,-0.0671,-0.9964,471530
5563,-2,-3.84,-122.87,-0.0133,-0.0672,-0.9963,497033
5627,-2,-3.84,-122.87,-0.0147,-0.0671,-0.9964,522642
5691,-1.99,-3.84,-122.87,-0.0153,-0.0671,-0.9964,548257
5755,-1.99,-3.84,-122.87,-0.0147,-0.0671,-0.9964,573763
5819,-1.99,-3.84,-122.87,-0.0143,-0.067,-0.9966,599398
5882,-1.99,-3.84,-122.87,-0.0132,-0.067,-0.9963,624974
5946,-1.99,-3.84,-122.87,-0.0128,-0.0671,-0.9963,650533
6010,-0.81,-3.85,-122.87,-0.0144,-0.067,-0.9962,676133
6074,-0.82,-3.85,-122.87,-0.0165,-0.0669,-0.9964,701636
6138,-0.83,-3.85,-122.87,-0.0172,-0.0668,-0.9964,727283
6202,-0.83,-3.84,-122.87,-0.0154,-0.0669,-0.9963,752858
6266,-0.83,-3.84,-122.87,-0.0127,-0.067,-0.9962,778467
6330,-0.83,-3.84,-122.87,-0.0104,-0.0669,-0.9961,803848
6394,-0.82,-3.84,-122.87,-0.0076,-0.0668,-0.9961,828814
6458,-0.72,-3.84,-122.87,-0.0018,-0.0668,-0.9963,853036
6522,-0.58,-3.84,-122.87,0.0045,-0.0667,-0.9964,876416
6586,-0.4,-3.84,-122.87,0.0058,-0.0667,-0.9965,899017
6649,-0.28,-3.84,-122.87,0.0053,-0.0667,-0.9965,920834
6713,-0.28,-3.83,-122.87,0.0058,-0.0665,-0.9965,941807
6777,-0.27,-3.83,-122.87,0.0063,-0.0664,-0.9964,961872
6841,-0.27,-3.83,-122.87,0.0059,-0.0664,-0.9964,981215
6905,-0.27,-3.82,-122.87,0.0059,-0.0664,-0.9966,999666
6969,-0.27,-3.82,-122.87,0.0062,-0.0664,-0.9966,1017403
7033,-0.26,-3.82,-122.87,0.0067,-0.0663,-0.9966,1034228
7097,-0.26,-3.82,-122.87,0.0059,-0.0664,-0.9966,1050308
7161,-0.26,-3.82,-122.86,0.0062,-0.0664,-0.9966,1065496
7225,-0.26,-3.82,-122.86,0.0068,-0.0663,-0.9966,1079909
7289,-0.26,-3.82,-122.86,0.0057,-0.0663,-0.9964,1093505
7352,-0.26,-3.82,-122.86,0.0035,-0.0662,-0.9965,1106304
7417,0.34,-3.81,-122.86,0.0028,-0.0662,-0.9966,1118251
7480,0.34,-3.81,-122.86,0.0057,-0.0663,-0.9962,1129425
7544,0.34,-3.81,-122.86,0.0072,-0.0663,-0.9958,1139699
7608,0.34,-3.81,-122.86,0.0064,-0.0662,-0.9958,1149210
7672,0.34,-3.81,-122.86,0.0063,-0.0662,-0.9961,1157890
7736,0.31,-3.8,-122.86,0.0064,-0.0662,-0.9962,1165777
7800,0.32,-3.8,-122.86,0.0064,-0.0663,-0.9961,1172839
7864,0.35,-3.8,-122.86,0.0064,-0.0662,-0.9966,1179094
7928,0.37,-3.8,-122.86,0.0064,-0.0662,-0.9968,1184490
7992,0.36,-3.8,-122.86,0.0063,-0.0662,-0.9967,1189104
8056,0.36,-3.8,-122.86,0.0065,-0.0662,-0.9965,1192897
8119,0.37,-3.8,-122.86,0.0073,-0.0662,-0.9962,1195870
8183,0.38,-3.8,-122.86,0.0071,-0.0662,-0.9957,1198011
8247,0.38,-3.8,-122.86,0.0071,-0.0662,-0.9956,1199363
8311,0.39,-3.8,-122.86,0.0068,-0.0662,-0.9958,1199904
8375,0.38,-3.8,-122.86,0.004,-0.0662,-0.9961,1199998
8439,0.34,-3.8,-122.86,-0.0033,-0.0661,-0.996,1200002
8503,0.23,-3.8,-122.86,-0.0105,-0.0661,-0.9962,1200002
8567,0.06,-3.8,-122.86,-0.0135,-0.0661,-0.9964,1200002
8631,-0.1,-3.8,-122.86,-0.0139,-0.0661,-0.9965,1200000
8695,-0.27,-3.8,-122.86,-0.0136,-0.0661,-0.9964,1200001
8759,-0.44,-3.8,-122.86,-0.0135,-0.066,-0.9961,1200000
8822,-0.59,-3.8,-122.86,-0.0135,-0.0661,-0.996,1200000
8886,-0.71,-3.8,-122.86,-0.0136,-0.0661,-0.9961,1200001
8950,-0.77,-3.8,-122.86,-0.0137,-0.0661,-0.996,1200000
9014,-0.78,-3.8,-122.86,-0.0135,-0.0661,-0.9958,1200000
9078,-0.78,-3.8,-122.86,-0.0134,-0.0661,-0.9953,1200000
9142,-0.78,-3.8,-122.86,-0.0135,-0.0661,-0.9959,1199999
9206,-0.78,-3.8,-122.86,-0.0136,-0.0661,-0.9967,1200000
9270,-0.78,-3.8,-122.86,-0.0137,-0.066,-0.9969,1199999
9334,-0.78,-3.8,-122.86,-0.0136,-0.0661,-0.9965,1200000
9398,-0.78,-3.8,-122.86,-0.0136,-0.0661,-0.9964,1200000
9462,-0.78,-3.79,-122.86,-0.0135,-0.0661,-0.9963,1199999
9526,-0.78,-3.79,-122.86,-0.0133,-0.0661,-0.996,1200001
9589,-0.78,-3.79,-122.86,-0.0135,-0.0661,-0.9962,1200000
